Title,Date
"Middleditch & Schwartz: Season 1: Dream Job","5/8/20"
"Better Call Saul: Season 4: Piñata","5/8/20"
"Better Call Saul: Season 4: Quite a Ride","5/7/20"
"Better Call Saul: Season 4: Talk","5/7/20"
"Middleditch & Schwartz: Season 1: Law School Magic","5/7/20"
"Better Call Saul: Season 4: Something Beautiful","5/6/20"
"Better Call Saul: Season 4: Breathe","5/6/20"
"Middleditch & Schwartz: Season 1: Parking Lot Wedding","5/6/20"
"Better Call Saul: Season 4: Smoke","5/5/20"
"The Last Dance: Season 1: Episode VI","5/5/20"
"The Last Dance: Season 1: Episode V","5/4/20"
"Better Call Saul: Season 3: Lantern","5/3/20"
"Better Call Saul: Season 3: Fall","5/3/20"
"Better Call Saul: Season 3: Slip","5/3/20"
"Better Call Saul: Season 3: Expenses","5/2/20"
"Better Call Saul: Season 3: Off Brand","5/2/20"
"Hollywood: Season 1: Hooray for Hollywood: Part 2","5/2/20"
"Hollywood: Season 1: Hooray for Hollywood","5/1/20"
"Better Call Saul: Season 3: Chicanery","4/30/20"
"Better Call Saul: Season 3: Sabrosito","4/30/20"
"Night on Earth: Limited Series: Moonlit Plains","4/30/20"
"Better Call Saul: Season 3: Sunk Costs","4/30/20"
"Better Call Saul: Season 3: Witness","4/29/20"
"Better Call Saul: Season 3: Mabel","4/29/20"
"Our Planet - Behind The Scenes","4/29/20"
"The Last Dance: Season 1: Episode IV","4/28/20"
"The Last Dance: Season 1: Episode III","4/28/20"
"The Last Dance: Season 1: Episode II","4/27/20"
"The Last Dance: Season 1: Episode I","4/27/20"
"Our Planet: Season 1: Forests","4/27/20"
"Better Call Saul: Season 2: Klick","4/26/20"
"Better Call Saul: Season 2: Nailed","4/26/20"
"Extraction","4/26/20"
"Better Call Saul: Season 2: Fifi","4/26/20"
"Better Call Saul: Season 2: Inflatable","4/26/20"
"Our Planet: Season 1: Fresh Water","4/26/20"
"Better Call Saul: Season 2: Bali Ha'i","4/25/20"
"Better Call Saul: Season 2: Rebecca","4/25/20"
"Better Call Saul: Season 2: Gloves Off","4/25/20"
"Our Planet: Season 1: The High Seas","4/25/20"
"Better Call Saul: Season 2: Amarillo","4/23/20"
"Better Call Saul: Season 2: Cobbler","4/23/20"
"Our Planet: Season 1: From Deserts to Grasslands","4/23/20"
"Friends: Season 10: The Last One: Part 1 & Part 2","4/22/20"
"Friends: Season 10: The One with Rachel's Going Away Party","4/22/20"
"Our Planet: Season 1: Coastal Seas","4/22/20"
"Friends: Season 10: The One Where Estelle Dies","4/21/20"
"Friends: Season 10: The One with Princess Consuela","4/21/20"
"Friends: Season 10: The One Where Joey Speaks French","4/21/20"
"Too Hot to Handle: Season 1: Lust or Bust","4/20/20"
"Too Hot to Handle: Season 1: Sisters over Misters","4/20/20"
"Too Hot to Handle: Season 1: The Bryce Isn't Right","4/20/20"
"Too Hot to Handle: Season 1: Boys to Men","4/20/20"
"Friends: Season 10: The One with Phoebe's Wedding","4/20/20"
"Too Hot to Handle: Season 1: Two's Company, Three's a ... Threesome","4/19/20"
"Too Hot to Handle: Season 1: Revenge Is a Dish Best Served Hot","4/19/20"
"Too Hot to Handle: Season 1: When Harry Met Francesca","4/19/20"
"Too Hot to Handle: Season 1: Love, Sex or Money","4/19/20"
"Friends: Season 10: The One Where the Stripper Cries","4/19/20"
"Better Call Saul: Season 2: Switch","4/19/20"
"Better Call Saul: Season 1: Marco","4/18/20"
"Better Call Saul: Season 1: Pimento","4/17/20"
"Better Call Saul: Season 1: Rico","4/17/20"
"Better Call Saul: Season 1: Bingo","4/16/20"
"Better Call Saul: Season 1: Five-O","4/15/20"
"Better Call Saul: Season 1: Alpine Shepherd Boy","4/15/20"
"Better Call Saul: Season 1: Hero","4/14/20"
"Better Call Saul: Season 1: Nacho","4/14/20"
"Better Call Saul: Season 1: Mijo","4/13/20"
"Better Call Saul: Season 1: Uno","4/13/20"
"Friends: Season 10: The One Where Chandler Gets Caught","4/13/20"
"Money Heist: Part 4: The Paris Plan","4/10/20"
"Money Heist: Part 4: Strike the Tent","4/10/20"
"Money Heist: Part 4: TKO","4/9/20"
"Money Heist: Part 4: 5 Minutes Earlier","4/9/20"
"Money Heist: Part 4: Pasodoble","4/8/20"
"Money Heist: Part 4: Anatomy Lesson","4/8/20"
"Money Heist: Part 4: Berlin's Wedding","4/4/20"
"Money Heist: Part 4: Game Over","4/4/20"
"Ozark: Season 3: All In","4/3/20"
"Ozark: Season 3: Fire Pink","4/2/20"
"Ozark: Season 3: BFF","4/2/20"
"Ozark: Season 3: In Case of Emergency","4/1/20"
"Ozark: Season 3: Su Casa Es Mi Casa","4/1/20"
"Formula 1: Drive to Survive: Season 2: Lights Out","3/31/20"
"Ozark: Season 3: It Came From Michoacán","3/31/20"
"Ozark: Season 3: Boss Fight","3/31/20"
"Ozark: Season 3: Kevin Cronin Was Here","3/30/20"
"Ozark: Season 3: Civil Union","3/29/20"
"Ozark: Season 3: Wartime","3/29/20"
"Elite: Season 3: Polo","3/28/20"
"Elite: Season 3: Nadia and Omar","3/28/20"
"Elite: Season 3: Rebeca","3/28/20"
"Elite: Season 3: Ander","3/28/20"
"Elite: Season 3: Lu","3/28/20"
"Elite: Season 3: Cayetana and Valerio","3/26/20"
"Elite: Season 3: Samuel and Guzmán","3/26/20"
"Elite: Season 3: Carla","3/25/20"
"Friends: Season 10: The One with the Birth Mother","3/24/20"
"On My Block: Season 3: Chapter Twenty-Eight","3/19/20"
"On My Block: Season 3: Chapter Twenty-Seven","3/19/20"
"On My Block: Season 3: Chapter Twenty-Six","3/18/20"
"On My Block: Season 3: Chapter Twenty-Five","3/18/20"
"On My Block: Season 3: Chapter Twenty-Four","3/17/20"
"On My Block: Season 3: Chapter Twenty-Three","3/17/20"
"On My Block: Season 3: Chapter Twenty-Two","3/17/20"
"On My Block: Season 3: Chapter Twenty-One","3/16/20"
"Narcos: Mexico: Season 2: Free Trade","3/16/20"
"Friends: Season 10: The One with the Late Thanksgiving","3/15/20"
"Narcos: Mexico: Season 2: Growth, Prosperity, and Liberation","3/13/20"
"Paradise PD: Part 2: Operation DD","3/12/20"
"Paradise PD: Part 2: Paradise PD Meets Brickleberry","3/12/20"
"Paradise PD: Part 2: Flip the Vote","3/11/20"
"Paradise PD: Part 2: The Father, the Son and the Post-it Note","3/11/20"
"Paradise PD: Part 2: Who Ate Wally's Waffles","3/10/20"
"Paradise PD: Part 2: Tucker Carlson Is a Huge D**k","3/10/20"
"Paradise PD: Part 2: Big Ball Energy","3/9/20"
"Friends: Season 10: The One with The Home Study","3/9/20"
"Friends: Season 10: The One with Ross's Grant","3/8/20"
"Paradise PD: Part 2: Paradise Found","3/8/20"
"Narcos: Mexico: Season 2: Se Cayó El Sistema","3/7/20"
"Narcos: Mexico: Season 2: Truth and Reconciliation","3/7/20"
"Narcos: Mexico: Season 2: El Dedazo","3/6/20"
"Narcos: Mexico: Season 2: AFO","3/5/20"
"Friends: Season 10: The One Where Rachel's Sister Babysits","3/5/20"
"I Am Not Okay With This: Season 1: Deepest, Darkest Secret","3/2/20"
"I Am Not Okay With This: Season 1: Like Father, Like Daughter","3/2/20"
"I Am Not Okay With This: Season 1: Another Day in Paradise","3/2/20"
"I Am Not Okay With This: Season 1: Stan by Me","3/2/20"
"I Am Not Okay With This: Season 1: The Party's Over","2/28/20"
"I Am Not Okay With This: Season 1: The Master of One F**k","2/28/20"
"I Am Not Okay With This: Season 1: Dear Diary...","2/28/20"
"Narcos: Mexico: Season 2: The Big Dig","2/24/20"
"Narcos: Mexico: Season 2: Ruben Zuno Arce","2/23/20"
"Narcos: Mexico: Season 2: Alea lacta Est","2/23/20"
"Narcos: Mexico: Season 2: Salva El Tigre","2/21/20"
"The Circle: Season 1: Finale","2/20/20"
"The Circle: Season 1: The Last Rating","2/20/20"
"The Circle: Season 1: Declare Your Rival","2/20/20"
"The Circle: Season 1: Instant Block","2/20/20"
"The Circle: Season 1: The Player I'm Saving Is ...","2/19/20"
"The Circle: Season 1: Picking Teams","2/19/20"
"The Circle: Season 1: Anonymous Trolling","2/18/20"
"The Circle: Season 1: Sliding into DMs","2/17/20"
"The Circle: Season 1: Planting Doubt","2/17/20"
"The Circle: Season 1: There's a Catfish Among Us","2/16/20"
"The Circle: Season 1: Face-to-Face","2/16/20"
"The Circle: Season 1: Hello, Circle","2/12/20"
"BoJack Horseman: Season 6: Nice While It Lasted","2/9/20"
"BoJack Horseman: Season 6: The View from Halfway Down","2/9/20"
"BoJack Horseman: Season 6: Angela","2/9/20"
"BoJack Horseman: Season 6: The Horny Unicorn","2/9/20"
"BoJack Horseman: Season 6: Xerox of a Xerox","2/8/20"
"BoJack Horseman: Season 6: Sunk Cost and All That","2/8/20"
"BoJack Horseman: Season 6: Good Damage","2/7/20"
"BoJack Horseman: Season 6: Intermediate Scene Study w/ BoJack Horseman","2/7/20"
"You: Season 2: Love, Actually","2/3/20"
"You: Season 2: P.I. Joe","2/3/20"
"You: Season 2: Fear and Loathing in Beverly Hills","2/2/20"
"The Good Place: Season 4: Whenever You're Ready","2/2/20"
"Uncut Gems","2/2/20"
"You: Season 2: Ex-istential Crisis","2/2/20"
"You: Season 2: Farewell, My Bunny","2/1/20"
"You: Season 2: Have a Good Wellkend, Joe!","2/1/20"
"You: Season 2: The Good, the Bad, & the Hendy","1/31/20"
"You: Season 2: What Are Friends For?","1/28/20"
"You: Season 2: Just the Tip","1/26/20"
"You: Season 2: A Fresh Start","1/26/20"
"Friends: Season 10: The One with the Cake","1/26/20"
"Sex Education: Season 2: Episode 8","1/25/20"
"Friends: Season 10: The One with Ross's Tan","1/25/20"
"Sex Education: Season 2: Episode 7","1/24/20"
"Sex Education: Season 2: Episode 6","1/24/20"
"The Good Place: Season 4: Patty","1/24/20"
"Sex Education: Season 2: Episode 5","1/23/20"
"Sex Education: Season 2: Episode 4","1/21/20"
"The Good Place: Season 4: Mondays, Am I Right?","1/21/20"
"Sex Education: Season 2: Episode 3","1/20/20"
"Sex Education: Season 2: Episode 2","1/20/20"
"Sex Education: Season 2: Episode 1","1/19/20"
"You: Season 1: Bluebeard's Castle","1/19/20"
"You: Season 1: Candace","1/18/20"
"You: Season 1: You Got Me, Babe","1/18/20"
"You: Season 1: Everythingship","1/18/20"
"You: Season 1: Amour Fou","1/17/20"
"You: Season 1: Living with the Enemy","1/16/20"
"You: Season 1: The Captain","1/16/20"
"The Good Place: Season 4: You've Changed, Man","1/16/20"
"You: Season 1: Maybe","1/15/20"
"You: Season 1: The Last Nice Guy in New York","1/15/20"
"You: Season 1: Pilot","1/12/20"
"Sex Education: Season 1: Episode 8","1/11/20"
"Sex Education: Season 1: Episode 7","1/11/20"
"Sex Education: Season 1: Episode 6","1/11/20"
"Sex Education: Season 1: Episode 5","1/11/20"
"Sex Education: Season 1: Episode 4","1/9/20"
"Sex Education: Season 1: Episode 3","1/8/20"
"Sex Education: Season 1: Episode 2","1/7/20"
"Sex Education: Season 1: Episode 1","1/6/20"
"The Good Place: Season 4: The Answer","1/4/20"
"The Good Place: Season 4: The Funerals To End All Funerals","1/4/20"
"The Good Place: Season 4: Help is Other People","1/3/20"
"The Good Place: Season 4: A Chip Driver Mystery","1/3/20"
"Ozark: Season 2: The Gold Coast","1/2/20"
"The Good Place: Season 4: Employee of the Bearimy","1/2/20"
"The Good Place: Season 4: Tinker, Tailor, Demon, Spy","1/2/20"
"Marriage Story","1/1/20"
"Ozark: Season 2: The Badger","1/1/20"
"The Neighbor: Season 1: Episode 1","1/1/20"
"Ozark: Season 2: The Big Sleep","1/1/20"
"Ozark: Season 2: One Way Out","1/1/20"
"The Good Place: Season 4: Chillaxing","1/1/20"
"The Good Place: Season 4: A Girl From Arizona - Part 2","1/1/20"
"Ozark: Season 2: Outer Darkness","12/30/19"
"6 Underground","12/30/19"
"Dear White People: Volume 3: Chapter X","12/30/19"
"Dear White People: Volume 3: Chapter IX","12/30/19"
"The Good Place: Season 4: A Girl From Arizona - Part 1","12/30/19"
"Dear White People: Volume 3: Chapter VIII","12/29/19"
"Ozark: Season 2: Game Day","12/29/19"
"Dear White People: Volume 3: Chapter VII","12/27/19"
"Atypical: Season 3: Searching for Brown Sugar Man","12/27/19"
"Atypical: Season 3: Sam Takes a Walk","12/27/19"
"Dear White People: Volume 3: Chapter VI","12/26/19"
"Ozark: Season 2: Stag","12/25/19"
"Ozark: Season 2: Once a Langmore...","12/25/19"
"Dear White People: Volume 3: Chapter V","12/24/19"
"The Witcher: Season 1: Much More","12/24/19"
"The Witcher: Season 1: Before a Fall","12/24/19"
"The Witcher: Season 1: Rare Species","12/24/19"
"The Witcher: Season 1: Bottled Appetites","12/23/19"
"The Witcher: Season 1: Of Banquets, Bastards and Burials","12/23/19"
"Dear White People: Volume 3: Chapter IV","12/22/19"
"The Witcher: Season 1: Betrayer Moon","12/22/19"
"Atypical: Season 3: Road Rage Paige","12/22/19"
"Atypical: Season 3: Shrinkage","12/22/19"
"The Witcher: Season 1: Four Marks","12/22/19"
"The Witcher: Season 1: The End’s Beginning","12/22/19"
"Patriot Act with Hasan Minhaj: Volume 5: How America Is Causing Global Obesity","12/22/19"
"Patriot Act with Hasan Minhaj: Volume 5: Why We Can't Retire","12/20/19"
"Ozark: Season 2: The Precious Blood of Jesus","12/18/19"
"Dear White People: Volume 3: Chapter III","12/16/19"
"Ozark: Season 2: Reparations","12/16/19"
"Bo Burnham: Make Happy","12/16/19"
"Bo Burnham: what.","12/12/19"
"Atypical: Season 3: The Essence of a Penguin","12/8/19"
"Atypical: Season 3: Only Tweed","12/8/19"
"Atypical: Season 3: Y.G.A.G.G.","12/8/19"
"Patriot Act with Hasan Minhaj: Volume 5: Don't Ignore the Asian Vote in 2020","12/8/19"
"Louis C.K.: Hilarious","12/6/19"
"Dear White People: Volume 3: Chapter II","12/3/19"
"Final Space: Season 2: The Sixth Key","12/1/19"
"Patriot Act with Hasan Minhaj: Volume 5: Why Billionaires Won't Save Us","12/1/19"
"Final Space: Season 2: The Descent Into Darkness","11/30/19"
"Final Space: Season 2: The Set Up","11/30/19"
"Final Space: Season 2: The Lost Spy","11/28/19"
"Final Space: Season 2: The Closer You Get","11/28/19"
"Final Space: Season 2: The Remembered","11/25/19"
"Final Space: Season 2: The First Times They Met","11/25/19"
"Final Space: Season 2: Arachnitects","11/25/19"
"Final Space: Season 2: The Notorious Mrs. Goodspeed","11/24/19"
"Final Space: Season 2: The Other Side","11/24/19"
"Patriot Act with Hasan Minhaj: Volume 5: The Ugly Truth of Fast Fashion","11/24/19"
"Final Space: Season 2: The Grand Surrender","11/24/19"
"Final Space: Season 2: The Happy Place","11/24/19"
"Final Space: Season 2: The Toro Regatta","11/24/19"
"The Dragon Prince: Season 3: The Final Battle","11/23/19"
"The Dragon Prince: Season 3: Dragonguard","11/23/19"
"The Dragon Prince: Season 3: Hearts of Cinder","11/23/19"
"The Dragon Prince: Season 3: Thunderfall","11/23/19"
"The Dragon Prince: Season 3: Heroes and Masterminds","11/23/19"
"The Dragon Prince: Season 3: The Midnight Desert","11/23/19"
"The Dragon Prince: Season 3: Ghost","11/23/19"
"The Dragon Prince: Season 3: The Crown","11/23/19"
"The Dragon Prince: Season 3: Sol Regem","11/22/19"
"Dear White People: Volume 3: Chapter I","11/17/19"
"Patriot Act with Hasan Minhaj: Volume 5: Trump's Worst Policy: Killing Asylum","11/17/19"
"Patriot Act with Hasan Minhaj: Volume 5: Mental Health","11/17/19"
"Between Two Ferns: The Movie","11/16/19"
"Atypical: Season 3: Cocaine Pills and Pony Meat","11/10/19"
"The End of the F***ing World: Season 2: Episode 8","11/9/19"
"The End of the F***ing World: Season 2: Episode 7","11/9/19"
"The End of the F***ing World: Season 2: Episode 6","11/9/19"
"The End of the F***ing World: Season 2: Episode 5","11/9/19"
"The End of the F***ing World: Season 2: Episode 4","11/9/19"
"The End of the F***ing World: Season 2: Episode 3","11/9/19"
"The End of the F***ing World: Season 2: Episode 2","11/9/19"
"The End of the F***ing World: Season 2: Episode 1","11/9/19"
"Elite: Season 2: 0 hours missing","11/9/19"
"Elite: Season 2: 84 hours missing","11/8/19"
"Elite: Season 2: 66 hours missing","11/8/19"
"Elite: Season 2: 63 hours missing","11/6/19"
"Elite: Season 2: 59 hours missing","11/5/19"
"Atypical: Season 3: Standing Sam","11/5/19"
"Elite: Season 2: 36 hours missing","11/4/19"
"Atypical: Season 3: Best Laid Plans","11/4/19"
"BoJack Horseman: Season 6: A Quick One, While He's Away","11/3/19"
"BoJack Horseman: Season 6: The Face of Depression","11/3/19"
"Jack Whitehall: Travels with My Father: Season 3: Episode 2","11/3/19"
"BoJack Horseman: Season 6: The Kidney Stays in the Picture","11/3/19"
"BoJack Horseman: Season 6: A Little Uneven, Is All","11/3/19"
"Elite: Season 2: 34 hours missing","11/2/19"
"BoJack Horseman: Season 6: Surprise!","11/2/19"
"BoJack Horseman: Season 6: Feel-Good Story","11/2/19"
"BoJack Horseman: Season 6: The New Client","11/2/19"
"BoJack Horseman: Season 6: A Horse Walks into a Rehab","11/2/19"
"Daybreak: Season 1: FWASH-BOOOOOOOOOOOOOOOOOOOOOOOOOM!","11/2/19"
"Daybreak: Season 1: Josh vs. the Apocalypse: Part 2","11/1/19"
"Daybreak: Season 1: Post Mates","11/1/19"
"Daybreak: Season 1: Canta Tu Vida","11/1/19"
"Daybreak: Season 1: 5318008","11/1/19"
"Daybreak: Season 1: Homecoming Redux or My So Called Stunt Double Life","11/1/19"
"Disenchantment: Part 2: Tiabeanie Falls","10/29/19"
"Disenchantment: Part 2: The Electric Princess","10/29/19"
"Daybreak: Season 1: MMMMMMM-HMMMMMM","10/28/19"
"Daybreak: Season 1: The Slime Queenpin of Glendale, CA","10/28/19"
"Disenchantment: Part 2: In Her Own Write","10/28/19"
"Daybreak: Season 1: Schmuck Bait!","10/27/19"
"Daybreak: Season 1: Josh vs. the Apocalypse: Part 1","10/27/19"
"Disenchantment: Part 2: Love's Slimy Embrace","10/27/19"
"Disenchantment: Part 2: The Dreamland Job","10/24/19"
"Disenchantment: Part 2: Our Bodies, Our Elves","10/24/19"
"Elite: Season 2: 20 hours missing","10/21/19"
"Disenchantment: Part 2: The Lonely Heart Is a Hunter","10/21/19"
"Orange Is the New Black: Season 7: Here's Where We Get Off","10/20/19"
"Orange Is the New Black: Season 7: The Big House","10/20/19"
"Orange Is the New Black: Season 7: God Bless America","10/19/19"
"Disenchantment: Part 2: The Very Thing","10/19/19"
"Orange Is the New Black: Season 7: The Thirteenth","10/18/19"
"Orange Is the New Black: Season 7: The Hidey Hole","10/16/19"
"Orange Is the New Black: Season 7: Baker's Dozen","10/15/19"
"Orange Is the New Black: Season 7: Me as Well","10/14/19"
"Orange Is the New Black: Season 7: Trapped in an Elevator","10/13/19"
"Orange Is the New Black: Season 7: Minority Deport","10/13/19"
"El Camino: A Breaking Bad Movie","10/13/19"
"Orange Is the New Black: Season 7: How to Do Life","10/12/19"
"Orange Is the New Black: Season 7: And Brown Is the New Orange","10/12/19"
"Orange Is the New Black: Season 7: Just Desserts","10/11/19"
"Orange Is the New Black: Season 7: Beginning of the End","10/8/19"
"Dear White People: Volume 2: Chapter X","10/7/19"
"Dear White People: Volume 2: Chapter IX","10/7/19"
"Dear White People: Volume 2: Chapter VIII","10/7/19"
"Dear White People: Volume 2: Chapter VII","10/6/19"
"Dear White People: Volume 2: Chapter VI","10/6/19"
"Disenchantment: Part 2: Stairway to Hell","10/5/19"
"Disenchantment: Part 2: The Disenchantress","10/5/19"
"Dear White People: Volume 2: Chapter V","10/1/19"
"Archer: Season 10: Robert De Niro","10/1/19"
"Archer: Season 10: Cubert","10/1/19"
"Archer: Season 10: Space Pirates","10/1/19"
"Archer: Season 10: Road Trip","9/30/19"
"Archer: Season 10: Mr. Deadly Goes To Town","9/29/19"
"Archer: Season 10: Dining With The Zarglorp","9/29/19"
"Jack Whitehall: Travels with My Father: Season 3: Episode 1","9/28/19"
"Archer: Season 10: The Leftovers","9/27/19"
"Glitch: Season 3: Mum","9/26/19"
"GLOW: Season 3: A Very GLOW Christmas","9/22/19"
"GLOW: Season 3: The Libertines","9/22/19"
"GLOW: Season 3: Keep Ridin'","9/22/19"
"GLOW: Season 3: Hollywood Homecoming","9/21/19"
"GLOW: Season 3: Outward Bound","9/21/19"
"GLOW: Season 3: Freaky Tuesday","9/21/19"
"GLOW: Season 3: Say Yes","9/21/19"
"GLOW: Season 3: Desert Pollen","9/21/19"
"Patriot Act with Hasan Minhaj: Volume 4: The Real Cost of Cruises","9/21/19"
"MINDHUNTER: Season 2: Episode 9","9/21/19"
"MINDHUNTER: Season 2: Episode 8","9/20/19"
"Archer: Season 10: Happy Borthday","9/18/19"
"Archer: Season 10: Bort the Garj","9/18/19"
"MINDHUNTER: Season 2: Episode 7","9/16/19"
"MINDHUNTER: Season 2: Episode 6","9/16/19"
"Patriot Act with Hasan Minhaj: Volume 4: The Two Sides of Canada","9/16/19"
"MINDHUNTER: Season 2: Episode 5","9/16/19"
"Patriot Act with Hasan Minhaj: Volume 4: The Broken Policing System","9/15/19"
"MINDHUNTER: Season 2: Episode 4","9/15/19"
"MINDHUNTER: Season 2: Episode 3","8/20/19"
"GLOW: Season 3: Hot Tub Club","8/19/19"
"Patriot Act with Hasan Minhaj: Volume 4: Why Your Public Transportation Sucks","8/19/19"
"GLOW: Season 3: Up, Up, Up","8/18/19"
"MINDHUNTER: Season 2: Episode 2","8/18/19"
"MINDHUNTER: Season 2: Episode 1","8/16/19"
"Dear White People: Volume 2: Chapter IV","8/12/19"
"Dear White People: Volume 2: Chapter III","8/12/19"
"Friends: Season 10: The One Where Ross Is Fine","8/12/19"
"Dear White People: Volume 2: Chapter II","8/11/19"
"Patriot Act with Hasan Minhaj: Volume 4: Fentanyl","8/11/19"
"Rocko's Modern Life: Static Cling","8/10/19"
"Dear White People: Volume 2: Chapter I","8/9/19"
"Dear White People: Volume 1: Chapter X","8/9/19"
"Dear White People: Volume 1: Chapter IX","8/9/19"
"Dear White People: Volume 1: Chapter VIII","8/9/19"
"Dear White People: Volume 1: Chapter VII","8/6/19"
"Dear White People: Volume 1: Chapter VI","8/6/19"
"Dear White People: Volume 1: Chapter V","8/5/19"
"Dear White People: Volume 1: Chapter IV","8/5/19"
"Dear White People: Volume 1: Chapter III","8/5/19"
"Dear White People: Volume 1: Chapter II","8/4/19"
"Dear White People: Volume 1: Chapter I","8/4/19"
"Stranger Things: Stranger Things 3: Chapter Eight: The Battle of Starcourt","8/4/19"
"Stranger Things: Stranger Things 3: Chapter Seven: The Bite","8/4/19"
"Patriot Act with Hasan Minhaj: Volume 4: The Dark Side of the Video Game Industry","8/4/19"
"Friends: Season 10: The One After Joey and Rachel Kiss","8/1/19"
"Stranger Things: Stranger Things 3: Chapter Six: E Pluribus Unum","7/31/19"
"3Below: Tales of Arcadia: Part 2: A Glorious End, Part Two","7/29/19"
"3Below: Tales of Arcadia: Part 2: A Glorious End, Part One","7/29/19"
"Friends: Season 9: The One in Barbados","7/29/19"
"3Below: Tales of Arcadia: Part 2: Race to Trollmarket","7/28/19"
"Friends: Season 9: The One with the Donor","7/28/19"
"3Below: Tales of Arcadia: Part 2: The Big Sleep","7/28/19"
"3Below: Tales of Arcadia: Part 2: The Fall of House Tarron","7/28/19"
"3Below: Tales of Arcadia: Part 2: Luug's Day Out","7/27/19"
"3Below: Tales of Arcadia: Part 2: Asteroid Rage","7/27/19"
"3Below: Tales of Arcadia: Part 2: There's Something About Gwen (of Gorbon)","7/27/19"
"3Below: Tales of Arcadia: Part 2: Ill Gotten Gains","7/27/19"
"3Below: Tales of Arcadia: Part 2: Mother's Day","7/27/19"
"3Below: Tales of Arcadia: Part 2: Dogfight Days of Summer","7/25/19"
"Friends: Season 9: The One with the Fertility Test","7/25/19"
"3Below: Tales of Arcadia: Part 2: Moonlight Run","7/24/19"
"Friends: Season 9: The One with the Soap Opera Party","7/23/19"
"3Below: Tales of Arcadia: Part 2: Moving Day","7/22/19"
"Money Heist: Part 3: Astray","7/21/19"
"Money Heist: Part 3: A Quick Vacation","7/21/19"
"Money Heist: Part 3: Everything Seemed Insignificant","7/21/19"
"Money Heist: Part 3: Boom, Boom, Ciao","7/21/19"
"Money Heist: Part 3: It's Dolphin Time","7/21/19"
"Money Heist: Part 3: 48 Meters Underground","7/21/19"
"Money Heist: Part 3: Aikido","7/21/19"
"Money Heist: Part 3: We're Back","7/21/19"
"Dark: Season 2: Endings and Beginnings","7/20/19"
"Dark: Season 2: The White Devil","7/20/19"
"Dark: Season 2: An Endless Cycle","7/20/19"
"Dark: Season 2: Lost and Found","7/20/19"
"Dark: Season 2: The Travelers","7/20/19"
"Dark: Season 2: Ghosts","7/20/19"
"Dark: Season 2: Dark Matter","7/20/19"
"Dark: Season 2: Beginnings and Endings","7/18/19"
"Aziz Ansari: RIGHT NOW","7/18/19"
"Stranger Things: Stranger Things 3: Chapter Five: The Flayed","7/16/19"
"Stranger Things: Stranger Things 3: Chapter Four: The Sauna Test","7/14/19"
"Stranger Things: Stranger Things 3: Chapter Three: The Case of the Missing Lifeguard","7/14/19"
"Stranger Things: Stranger Things 3: Chapter Two: The Mall Rats","7/14/19"
"Stranger Things: Stranger Things 3: Chapter One: Suzie, Do You Copy?","7/14/19"
"Breaking Bad: Season 5: Felina","7/8/19"
"Breaking Bad: Season 5: Granite State","7/8/19"
"Breaking Bad: Season 5: Ozymandias","7/7/19"
"Breaking Bad: Season 5: To'hajiilee","7/7/19"
"Breaking Bad: Season 5: Rabid Dog","7/6/19"
"Breaking Bad: Season 5: Confessions","7/6/19"
